state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Puducherry,MUDALIARPET,18,R. VIJAYAKUMAR,Independent,10,17,26,34,35,,35,0,35,0.11,31199
Puducherry,MUDALIARPET,18,NOTA,None of the Above,83,153,218,285,299,,299,9,308,0.99,31199
Puducherry,MUTHIALPET,13,VAIYAPURI MANIKANDAN,All India N.R. Congress,1938,4101,6306,8250,,,8250,132,8382,35.58,23560
Puducherry,MUTHIALPET,13,EERAM G. RAJENDRAN,Indian National Congress,1901,3355,5357,7369,,,7369,61,7430,31.54,23560
Puducherry,MUTHIALPET,13,M. FARITHA BEGUM,Naam Tamilar Katchi,76,151,226,312,,,312,3,315,1.34,23560
Puducherry,MUTHIALPET,13,J. PRAKASH KUMAR,Tamilaga Vettri Kazhagam,1020,1889,2727,3588,,,3588,23,3611,15.33,23560
Puducherry,MUTHIALPET,13,K. HARIDASS,Pattali Makkal Katchi,3,5,11,14,,,14,0,14,0.06,23560
Puducherry,MUTHIALPET,13,EGAMBARAM GANDHI,Independent,11,19,24,25,,,25,0,25,0.11,23560
Puducherry,MUTHIALPET,13,R. CHANDRUJI,Independent,49,61,158,252,,,252,3,255,1.08,23560
Puducherry,MUTHIALPET,13,BALAMURUGAN,Independent,4,9,18,35,,,35,1,36,0.15,23560
Puducherry,MUTHIALPET,13,C. PRATHIYOUVE,Independent,5,10,14,20,,,20,0,20,0.08,23560
Puducherry,MUTHIALPET,13,M. PRABAGARAN,Independent,1200,1961,2594,3236,,,3236,49,3285,13.94,23560
Puducherry,MUTHIALPET,13,P. VIJAYABHAASGAR,Independent,9,12,19,25,,,25,0,25,0.11,23560
Puducherry,MUTHIALPET,13,NOTA,None of the Above,42,83,111,161,,,161,1,162,0.69,23560
Puducherry,NEDUNGADU,24,C. CHANDIRA PRIYANGA,All India N.R. Congress,4583,8242,9632,,,,9632,237,9869,34.71,28431
Puducherry,NEDUNGADU,24,DINESH KUMAR,Indian National Congress,564,1131,1326,,,,1326,28,1354,4.76,28431
Puducherry,NEDUNGADU,24,U. KAMARAJ,Tamilaga Vettri Kazhagam,805,1547,1849,,,,1849,16,1865,6.56,28431
Puducherry,NEDUNGADU,24,A. VIGNESH,Naam Tamilar Katchi,191,405,499,,,,499,11,510,1.79,28431
Puducherry,NEDUNGADU,24,ARUL PRAKASH,Independent,42,93,129,,,,129,1,130,0.46,28431
Puducherry,NEDUNGADU,24,DR. V. VIGNESWARAN,Independent,5643,11433,14202,,,,14202,166,14368,50.54,28431
Puducherry,NEDUNGADU,24,NOTA,None of the Above,146,264,330,,,,330,5,335,1.18,28431
Puducherry,NELLITHOPE,17,V. CARTIGUEYANE,Dravida Munnetra Kazhagam,2500,4564,6875,8108,,,8108,118,8226,33.21,24770
Puducherry,NELLITHOPE,17,S. GOMATHI ROJA,Anna Makkal Katchi,8,21,27,38,,,38,1,39,0.16,24770
Puducherry,NELLITHOPE,17,MUTH. AM. SIVAKUMAR,Naam Tamilar Katchi,149,246,330,382,,,382,10,392,1.58,24770
Puducherry,NELLITHOPE,17,S. VIGNESHWARAN,Tamilaga Vettri Kazhagam,1416,2721,4158,4739,,,4739,24,4763,19.23,24770
Puducherry,NELLITHOPE,17,JANAKIRAMAN,Pattali Makkal Katchi,27,44,64,80,,,80,0,80,0.32,24770
Puducherry,NELLITHOPE,17,A. JAYAKUMAR,Latchiya Jananayaka Katchi (LJK),1045,1834,2760,3263,,,3263,48,3311,13.37,24770
Puducherry,NELLITHOPE,17,DR. C. ASHOK KUMAR,Independent,8,24,31,36,,,36,0,36,0.15,24770
Puducherry,NELLITHOPE,17,E. IRUDHAYARAJ,Independent,21,32,40,51,,,51,0,51,0.21,24770
Puducherry,NELLITHOPE,17,OMSAKTHISEKAR,Independent,2394,4322,6118,7315,,,7315,61,7376,29.78,24770
Puducherry,NELLITHOPE,17,S. KAMATCHI,Independent,12,22,32,39,,,39,1,40,0.16,24770
Puducherry,NELLITHOPE,17,R. SHANMUGAM,Independent,66,79,85,88,,,88,0,88,0.36,24770
Puducherry,NELLITHOPE,17,G. SATHEESHKUMAR,Independent,14,34,41,46,,,46,2,48,0.19,24770
Puducherry,NELLITHOPE,17,N. DELHIBABU,Independent,6,11,21,26,,,26,2,28,0.11,24770
Puducherry,NELLITHOPE,17,M. MOHAN RAJ,Independent,13,26,44,55,,,55,0,55,0.22,24770
Puducherry,NELLITHOPE,17,NOTA,None of the Above,68,144,195,237,,,237,0,237,0.96,24770
Puducherry,NERAVY-T.R.PATTINAM,28,M. NAGATHIYAGARAJAN (NTR),Dravida Munnetra Kazhagam,3406,7009,8656,,,,8656,144,8800,33.15,26545
Puducherry,NERAVY-T.R.PATTINAM,28,TKSM MEENATCHISUNDARAM,Bharatiya Janata Party,4564,7909,10667,,,,10667,151,10818,40.75,26545
Puducherry,NERAVY-T.R.PATTINAM,28,SUGANTH. T,Desa Makkal Munnetrak Kazhagam,16,41,46,,,,46,0,46,0.17,26545
Puducherry,NERAVY-T.R.PATTINAM,28,GANESH @ PRANADARTI GARESWARAN,Tamilaga Vettri Kazhagam,1091,2149,2870,,,,2870,8,2878,10.84,26545
Puducherry,NERAVY-T.R.PATTINAM,28,M. MALA,Naam Tamilar Katchi,126,233,331,,,,331,3,334,1.26,26545
Puducherry,NERAVY-T.R.PATTINAM,28,I. KADAR MAIDINE,Independent,20,75,117,,,,117,2,119,0.45,26545
Puducherry,NERAVY-T.R.PATTINAM,28,SENTHAMIZH SELVAN,Independent,9,30,43,,,,43,1,44,0.17,26545
Puducherry,NERAVY-T.R.PATTINAM,28,V.M.C.S. MANOHAREN,Independent,790,2042,3236,,,,3236,60,3296,12.42,26545
Puducherry,NERAVY-T.R.PATTINAM,28,VAIDEGI,Independent,36,62,73,,,,73,0,73,0.28,26545
Puducherry,NERAVY-T.R.PATTINAM,28,NOTA,None of the Above,53,104,131,,,,131,6,137,0.52,26545
Puducherry,NETTAPAKKAM,22,G. ANBARASAN,Indian National Congress,1307,2492,3586,4519,6050,6920,6920,56,6976,24.29,28718
Puducherry,NETTAPAKKAM,22,P. RAJAVELU,All India N.R. Congress,2249,4337,7166,9792,12522,13489,13489,176,13665,47.58,28718
Puducherry,NETTAPAKKAM,22,DR.K. SILAMBARASAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,15,25,33,39,53,55,55,1,56,0.19,28718
Puducherry,NETTAPAKKAM,22,S. GNANAPRAGASH,Naam Tamilar Katchi,60,99,183,229,295,308,308,1,309,1.08,28718
Puducherry,NETTAPAKKAM,22,L PERIASAMY,Tamilaga Vettri Kazhagam,1064,1991,3250,4234,5148,5321,5321,61,5382,18.74,28718
Puducherry,NETTAPAKKAM,22,K JAYACHANDIRAN,Pattali Makkal Katchi,15,21,33,45,53,53,53,2,55,0.19,28718
Puducherry,NETTAPAKKAM,22,P AMUDHAVAN,Independent,5,12,24,30,42,51,51,11,62,0.22,28718
Puducherry,NETTAPAKKAM,22,R. AYANAR,Independent,22,28,68,80,100,102,102,1,103,0.36,28718
Puducherry,NETTAPAKKAM,22,N ARIKRISHNAN,Independent,766,1050,1160,1180,1482,1497,1497,14,1511,5.26,28718
Puducherry,NETTAPAKKAM,22,I. DANARAJU,Independent,3,8,15,16,21,22,22,1,23,0.08,28718
Puducherry,NETTAPAKKAM,22,S. THIRUNAVUKKARASU,Independent,89,105,108,111,124,124,124,10,134,0.47,28718
Puducherry,NETTAPAKKAM,22,S MUTHUKUMARASAMY,Independent,5,7,14,24,41,42,42,3,45,0.16,28718
Puducherry,NETTAPAKKAM,22,V. MURALI,Independent,12,23,45,58,91,110,110,2,112,0.39,28718
Puducherry,NETTAPAKKAM,22,A VELU,Independent,13,35,45,59,88,93,93,1,94,0.33,28718
Puducherry,NETTAPAKKAM,22,NOTA,None of the Above,38,64,112,135,176,188,188,3,191,0.67,28718
Puducherry,ORLEAMPETH,16,A. GANDHI,All India Anna Dravida Munnetra Kazhagam,96,176,267,295,,,295,5,300,1.53,19594
Puducherry,ORLEAMPETH,16,S. GOPAL,Dravida Munnetra Kazhagam,2290,4620,7334,8695,,,8695,64,8759,44.7,19594
Puducherry,ORLEAMPETH,16,ANITHA VEERAPAN,Naam Tamilar Katchi,57,99,158,184,,,184,0,184,0.94,19594
