state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Assam,BINNAKANDI,62,NOTA,None of the Above,78,141,194,260,371,431,521,598,696,767,838,911,976,1071,1174,1272,1377,1484,1548,1617,1679,1757,1839,1925,1971,1988,1994,1999,2001,2004,,,,2004,19,2023,0.85,236890
Assam,BIRSING JARUA,9,ALI AKBAR MIAH,All India United Democratic Front,1889,3621,5487,6305,6849,7485,8230,9138,9372,9677,9881,10095,10877,17154,22148,26420,31459,38574,46694,54575,62283,68399,73251,75336,77187,77672,77694,77900,,,,,,77900,116,78016,28.45,274263
Assam,BIRSING JARUA,9,WAZED ALI CHOUDHURY,Indian National Congress,5996,12624,18767,26473,30177,32972,37542,41689,43659,45558,47570,49747,53019,58004,63147,68898,73644,76996,79316,82077,85726,89138,95533,101859,110695,113396,113534,113660,,,,,,113660,241,113901,41.53,274263
Assam,BIRSING JARUA,9,MADHABI DAS,Bharatiya Janata Party,442,809,1100,1393,2040,2257,2501,2845,2954,3027,3220,3522,3827,4053,4424,4828,4971,5132,5249,5373,5516,5611,5923,7860,7998,8025,8034,8037,,,,,,8037,46,8083,2.95,274263
Assam,BIRSING JARUA,9,AKBAR ALI MONDAL,The National Road Map Party of India,53,90,153,251,367,466,569,678,758,844,893,981,1066,1087,1137,1159,1179,1201,1219,1239,1264,1291,1313,1348,1373,1381,1383,1384,,,,,,1384,0,1384,0.5,274263
Assam,BIRSING JARUA,9,ABDUS SOBUR MIAH,Socialist Unity Centre Of India (COMMUNIST),18,29,50,72,103,157,178,238,307,323,334,345,392,399,425,436,442,446,459,472,477,485,497,519,526,532,534,536,,,,,,536,5,541,0.2,274263
Assam,BIRSING JARUA,9,MOHAR UDDIN MONDAL,Vikas India Party,17,29,39,56,70,85,99,107,116,124,138,154,165,175,191,199,206,215,226,238,267,279,287,303,311,313,314,314,,,,,,314,0,314,0.11,274263
Assam,BIRSING JARUA,9,SHAHINOOR ISLAM,Apni Janta Party,14,32,50,73,88,103,132,151,164,177,192,207,270,282,305,331,346,360,373,393,415,426,448,460,465,467,467,467,,,,,,467,1,468,0.17,274263
Assam,BIRSING JARUA,9,RAFIQUL ISLAM,Independent,30,46,70,108,154,189,233,280,314,358,416,456,502,523,553,571,589,609,639,652,681,704,720,752,771,773,774,775,,,,,,775,0,775,0.28,274263
Assam,BIRSING JARUA,9,REZA AMIN,Independent,880,1947,3483,6303,12312,18335,22516,27866,33548,42049,50803,58106,64342,64625,65467,65896,66101,66229,66457,66747,66968,67201,67457,67678,67865,67900,68363,68375,,,,,,68375,181,68556,25,274263
